document_id,document_doi,repository_id,repository_url,developer_account_id,developer_account_url,developer_contribution_url,n_commits,n_additions,n_deletions,total_repo_commits,total_repo_additions,total_repo_deletions,contrib_type,is_actually_author,is_bot_account,notes,,,,,
57963,https://doi.org/10.24963/ijcai.2022/394,55463,https://github.com/francois-aubet/gluon-ts,40124,https://github.com/benidis,https://github.com/francois-aubet/gluon-ts/commits?author=benidis,26,8223,1412,670,156643,35196,code,no,,,,,,,
153622,https://doi.org/10.1109/CVPR52733.2024.01563,149893,https://github.com/jbwang1997/crosskd,9342,https://github.com/sanbuphy,https://github.com/jbwang1997/crosskd/commits?author=sanbuphy,9,2693,1326,2302,584383,372014,code,unclear,,,,,,,
42822,https://doi.org/10.1371/journal.pone.0293303,40898,https://github.com/sizimiya/urbanfeatures_cnn_dcgan,69625,https://github.com/sizimiya,https://github.com/sizimiya/urbanfeatures_cnn_dcgan/commits?author=sizimiya,9,220220,39837,9,220220,39837,code,no,,,,,,,
63202,https://doi.org/10.1109/ICPR56361.2022.9956710,60500,https://github.com/eisbaer8/deepgtav,92138,https://github.com/barcharcraz,https://github.com/eisbaer8/deepgtav/commits?author=barcharcraz,3,13822,75,584,318128,164967,code,no,,,,,,,
29424,https://doi.org/10.1109/ICDCS57875.2023.00075,28175,https://github.com/atlarge-research/opencraft,52887,https://github.com/turt2live,https://github.com/atlarge-research/opencraft/commits?author=turt2live,10,803,290,3233,401988,289916,code,no,,,,,Observations ,,
121719,https://doi.org/10.1007/s00521-021-06282-2,118018,https://github.com/davidmrd/playing-to-distraction,142225,https://github.com/DavidMrd,https://github.com/davidmrd/playing-to-distraction/commits?author=DavidMrd,5,301,149,5,301,149,code,yes,,First author ,,,,Intern ,Occasional
43176,https://doi.org/10.1371/journal.pcbi.1011476,41242,https://github.com/qingrunzhanglab/xa4c,70021,https://github.com/liqingbioinfo,https://github.com/qingrunzhanglab/xa4c/commits?author=liqingbioinfo,10,2110,7,10,2110,7,code,yes,,First author ,This one is particularly weird in that the handle is authors firstname inverted,,,Student ,Occasional
10121,https://doi.org/10.1371/journal.pone.0292604,9814,https://github.com/mbmackenzie/power-of-peace-speech,25411,https://github.com/mbmackenzie,https://github.com/mbmackenzie/power-of-peace-speech/commits?author=mbmackenzie,25,571184,31180,60,688338,44168,code,no,,,Repo archived before paper published,,,Committ to older branch,Often 
32258,https://doi.org/10.1109/CVPR52733.2024.00840,30850,https://github.com/jiwoogit/styleid,56512,https://github.com/hse1032,https://github.com/jiwoogit/styleid/commits?author=hse1032,3,660,1,16,14220,2228,code,yes,,,Weird username,,,Lab / Group account,"Often but usually doing specific things like init the repo, merge branches, etc"
75217,https://doi.org/10.1109/TVCG.2023.3274572,72208,https://github.com/abureyanahmed/multi_level_tree,357,https://github.com/tiga1231,https://github.com/abureyanahmed/multi_level_tree/commits?author=tiga1231,1,7,0,91,14505255,812198,doc,unclear,,,,,,,
61783,https://doi.org/10.1016/j.crmeth.2023.100621,59156,https://github.com/cs-bio/mol-gdl,90694,https://github.com/CS-BIO,https://github.com/cs-bio/mol-gdl/commits?author=CS-BIO,4,10387013,101040,4,10387013,101040,code,unclear,,Lab account ,,,,,
65437,https://doi.org/10.48550/arXiv.2204.00747,62685,https://github.com/datasciencelab18/indoortoolkit,94354,https://github.com/DataScienceLab18,https://github.com/datasciencelab18/indoortoolkit/commits?author=DataScienceLab18,6,25,17,8,30,22,code,unclear,,Lab account ,,,,,
59550,https://doi.org/10.1016/J.TRC.2020.102775,56942,https://github.com/danielegammelli/censoredgp,88388,https://github.com/adamian,https://github.com/danielegammelli/censoredgp/commits?author=adamian,15,212,109,3635,762627,595865,code,no,,Dev branch ,,,,,
144766,https://doi.org/10.1109/ICSE48619.2023.00073,140991,https://github.com/icse-dome/dome,159081,https://github.com/ICSE-DOME,https://github.com/icse-dome/dome/commits?author=ICSE-DOME,1,3700,0,1,3700,0,code,unclear,,Project Account ,,,For project or lab accounts maybe we could filter by an init commit that is less than a cetain size or line length (e.g. the init is a readme with the title),,
101169,https://doi.org/10.1609/aaai.v36i10.21409,97694,https://github.com/xssstory/seqco,31027,https://github.com/xssstory,https://github.com/xssstory/seqco/commits?author=xssstory,6,62618,5,7,62619,6,code,yes,,First author ,,,,,
153622,https://doi.org/10.1109/CVPR52733.2024.01563,149893,https://github.com/jbwang1997/crosskd,892,https://github.com/RangiLyu,https://github.com/jbwang1997/crosskd/commits?author=RangiLyu,143,48394,23247,2302,584383,372014,code,no,,,,,,,
