document_id,document_doi,repository_id,repository_url,developer_account_id,developer_account_url,developer_contribution_url,n_commits,n_additions,n_deletions,total_repo_commits,total_repo_additions,total_repo_deletions,contrib_type,is_actually_author,is_bot_account,notes
117412,https://doi.org/10.1109/CVPR46437.2021.01303,113703,https://github.com/sherlockholmes221/ggnet,138824,https://github.com/SherlockHolmes221,https://github.com/sherlockholmes221/ggnet/commits?author=SherlockHolmes221,7,14632,44,7,14632,44,code,unclear,no,repo owner
75934,https://doi.org/10.18653/v1/2021.eacl-main.262,72925,https://github.com/nkh2235/syntaxbert,104505,https://github.com/nkh2235,https://github.com/nkh2235/syntaxbert/commits?author=nkh2235,1,41752,0,1,41752,0,code,unclear,no,repo owner
143769,https://doi.org/10.1109/CVPR52733.2024.02234,139976,https://github.com/anapplecore/mose,64230,https://github.com/weilllllls,https://github.com/anapplecore/mose/commits?author=weilllllls,2,2408,2,42,18796,13960,code,no,no,
155648,https://doi.org/10.1145/3377811.3380400,151938,https://github.com/arise-lab/deepinspect,166666,https://github.com/ariselab,https://github.com/arise-lab/deepinspect/commits?author=ariselab,2,2,1,75,6193529,1512,doc,unclear,no,alt lab account
124073,https://doi.org/10.1073/pnas.2311888121,120370,https://github.com/hyunp2/alphafold,68672,https://github.com/sbodenstein,https://github.com/hyunp2/alphafold/commits?author=sbodenstein,3,15,14,270,77523,6362,other,no,no,commiter to original repo (this is forked)
27482,https://doi.org/10.1145/3510003.3510177,26320,https://github.com/automatedprogramrepair-2021/dear-auto-fix,50389,https://github.com/kevinGit777,https://github.com/automatedprogramrepair-2021/dear-auto-fix/commits?author=kevinGit777,1,2,0,33,14151660,114,other,unclear,no,
108972,https://doi.org/10.1109/CVPR52688.2022.01368,105423,https://github.com/mengqidyangge/hierkd,132256,https://github.com/mengqiDyangge,https://github.com/mengqidyangge/hierkd/commits?author=mengqiDyangge,,,,,,,doc,yes,no,repo owner
121900,https://doi.org/10.48550/arxiv.2003.05733,118186,https://github.com/boosting-ticket/ticket_robust,142321,https://github.com/boosting-ticket,https://github.com/boosting-ticket/ticket_robust/commits?author=boosting-ticket,1,213235,0,1,213235,0,code,unclear,no,repo owner
89149,https://doi.org/10.3389/fmed.2021.746307,85868,https://github.com/khtao/stainnet,64615,https://github.com/khtao,https://github.com/khtao/stainnet/commits?author=khtao,34,2491,976,34,2491,976,code,yes,no,repo owner
80535,https://doi.org/10.1609/aaai.v38i9.28850,77394,https://github.com/marketdesignresearch/ml-cca,51012,https://github.com/JakobHeiss,https://github.com/marketdesignresearch/ml-cca/commits?author=JakobHeiss,3,3,2,18,177741,2304,doc,yes,no,
93281,https://doi.org/10.1109/TPAMI.2019.2963387,89969,https://github.com/luoyan407/congruency,52542,https://github.com/oibook13,https://github.com/luoyan407/congruency/commits?author=oibook13,12,234,109,36,297,144,code,yes,no,
94589,https://doi.org/10.1109/CVPR52733.2024.01599,91231,https://github.com/ailab-cvc/yolo-world,120822,https://github.com/paartheee,https://github.com/ailab-cvc/yolo-world/commits?author=paartheee,3,38,7,131,43054,19618,code,unclear,no,
17003,https://doi.org/10.1145/3611643.3616287,16363,https://github.com/davidtr1037/klee-quantifiers,36042,https://github.com/Mic92,https://github.com/davidtr1037/klee-quantifiers/commits?author=Mic92,6,125,108,2276,628836,311256,code,no,no,
9551,https://doi.org/10.1371/journal.ppat.1011663,9251,https://github.com/bloc0078/umn-tischler-tnseq,24661,https://github.com/bloc0078,https://github.com/bloc0078/umn-tischler-tnseq/commits?author=bloc0078,12,152832,3284,12,152832,3284,code,unclear,no,repo owner
279,https://doi.org/10.21437/Interspeech.2021-1679,271,https://github.com/statnlp/ada4asr,619,https://github.com/erip,https://github.com/statnlp/ada4asr/commits?author=erip,10,248,127,567,62751,18792,code,no,no,
24209,https://doi.org/10.1609/AAAI.V34I07.6902,23210,https://github.com/wangsr126/rdsnet,8574,https://github.com/IliaLarchenko,https://github.com/wangsr126/rdsnet/commits?author=IliaLarchenko,1,1,1,467,83165,32748,code,no,no,
115887,https://doi.org/10.1007/s10618-021-00813-0,112204,https://github.com/cran2367/sgt,137673,https://github.com/cran2367,https://github.com/cran2367/sgt/commits?author=cran2367,58,61708,31014,58,61708,31014,code,unclear,no,repo owner (i think maybe first author??)
50747,https://doi.org/10.1111/biom.13852,48553,https://github.com/umich-biostatistics/syndi,10418,https://github.com/mkleinsa,https://github.com/umich-biostatistics/syndi/commits?author=mkleinsa,13,2947,1504,13,2947,1504,code,no,no,
9811,https://doi.org/10.1371/journal.pone.0236371,9510,https://github.com/sjmuellerbt/cyprofiles,24994,https://github.com/sjmuellerbt,https://github.com/sjmuellerbt/cyprofiles/commits?author=sjmuellerbt,3,1783,0,3,1783,0,code,yes,no,repo owner
47606,https://doi.org/10.1007/978-3-031-06975-8_6,45585,https://github.com/uhh-iss/zeek,75498,https://github.com/dnthayer,https://github.com/uhh-iss/zeek/commits?author=dnthayer,,,,,,,code,no,no,
28739,https://doi.org/10.1145/3405794,27513,https://github.com/khoapham/fos,51906,https://github.com/khoapham,https://github.com/khoapham/fos/commits?author=khoapham,25,19317,57,257,6544328,3235317,code,yes,no,repo owner
936,https://doi.org/10.1109/TPAMI.2022.3223908,912,https://github.com/fangshancheng/abinet-pp,2007,https://github.com/ppwwyyxx,https://github.com/fangshancheng/abinet-pp/commits?author=ppwwyyxx,1,10,35,242,24260,2407,code,no,no,
